#	跳转号	原检索号	描述	中文名	null	
242	243	123	雌雄异株或花杂性；花萼为三出数，萼片微呈花瓣状，和雄蕊同数且互生；花柱1，极短，常有6—9放射状且有齿裂的柱头；核果；胚体劲直；常绿而基部偃卧的灌木；叶互生，无托叶	兰科	FA288	
243	242	123	花两性或单性，花萼为五出数，稀可三出或四出数，萼片或花萼裂片草质或革质，和雄蕊同数且对生，或在黎科中雄蕊由于退化而数较少，甚或1个；花柱或花柱分枝2或3个，内侧常为柱头面；胞果或坚果；，胚体弯曲女口环或弯曲成螺旋形。		-----	
244	245	124	花无膜质苞片；雄蕊下位；叶互生或对生；无托叶；枝条常具关节	藜科	FA106	
245	244	124	花有膜质苞片；雄蕊周位；叶对生，基部常互相连合；有膜质托叶；枝条不具关节	石竹科	FA129	
246	241	122	不是上述的植物；叶片矩圆形或披针形，或宽广至圆形。		-----	
247	266	125	果实及子房均为2至数室，或在大风子科中为不完全的2至数室。		-----	
248	257	126	花常为两性。		-----	
249	252	127	萼片4或5片，稀可3片，呈覆瓦状排列。		-----	
250	251	128	雄蕊4个，4室的蒴果	兰科	FA288	
251	250	128	雄蕊多数，浆果状的核果	大风子科	FA79	
252	249	127	萼片多5片，呈镊合状排列。		-----	
253	254	129	雄蕊为不定数；具刺的蒴果	杜英科	FA87	
254	253	129	雄蕊和萼片同数；核果或坚果。		-----	
255	256	130	雄蕊和萼片对生，各为3～6	铁青树科	FA133	
256	255	130	雄蕊和萼片互生，各为4或5	鼠李科	FA175	
257	248	126	花单性(雌雄同株或异株)或杂性。		-----	
258	261	131	果实各种；种子无胚乳或有少量胚乳。		-----	
259	260	132	雄蕊常8个；果实坚果状或为有翅的蒴果；羽状复叶或单叶	无患子科	FA159	
260	259	132	雄蕊5或4个，且和萼片互生；核果有2～4个小核；单叶	鼠李科	FA175	
261	258	131	果实多呈蒴果状，无翅；种子常有胚乳。		-----	
262	263	133	果实为具2室的蒴果，有木质或革质的外种皮及角质的内果皮	金缕梅科	FA98	
263	262	133	果实纵为蒴果时，也不象上述情形。		-----	
264	265	134	胚珠具腹脊；果实有各种类型，但多为胞间裂开的蒴果	大戟科	FA84	
265	264	134	胚珠具背脊；果实为胞背裂开的蒴果，或有时呈核果状	黄杨科	FA94	
266	247	125	果实及子房均为1或2室，稀可在无患子科的荔枝属litchi及韶子属Nephelium中为3室，或在卫矛科的十齿花属Dipentodon及铁青树科的铁青树属Olax中，子房的下部为3室，而上部为1室。		-----	
267	270	135	花萼具显著的萼筒，且常呈花瓣状。		-----	
268	269	136	叶无毛或下面有柔毛；萼筒整个脱落	瑞香科	FA186	
269	268	136	叶下面具银白色或棕色的鳞片；萼筒或其下部永久宿存，当果实成熟时，变为肉质而紧密包着子房	胡颓子科	FA185	
270	267	135	花萼不是象上述情形，或无花被。		-----	
271	272	137	花药以2或4舌瓣裂开	樟科	FA193	
272	271	137	花药不以舌瓣裂开。		-----	
273	276	138	叶对生。		-----	
274	275	139	果实为有双翅或呈圆形的翅果	槭树科	FA155	
275	274	139	果实为有单翅而呈细长形兼矩圆形的翅果	木犀科	FA235	
276	273	138	叶互生。		-----	
277	284	140	叶为羽状复叶。		-----	
278	279	141	叶为二回羽状复叶，或退化仅具叶状柄(特称为叶状叶柄phyHodia)	豆科	FA86	
279	278	141	叶为一回羽状复叶。		-----	
280	281	142	小叶边缘有锯齿；果实有翅	马尾树科	FA171	
281	280	142	小叶全缘；果实无翅。		-----	
282	283	143	花两性或杂性	无患子科	FA159	
283	282	143	雌雄异株	漆树科	FA121	
284	277	140	叶为单叶。		-----	
285	290	144	花均无花被。		-----	
286	287	145	多为木质藤本；叶全缘；花两性或杂性，成紧密的穗状花序	胡椒科	FA206	
287	286	145	乔木；叶缘有锯齿或缺刻；花单性。		-----	
288	289	146	叶宽广，具掌状脉及掌状分裂，叶缘具缺刻或大锯齿；有托叶，围茎成鞘，但易脱落；、雌雄同株，雌花和雄花分别成球形的头状花序；雌蕊为单心皮而成；小坚果为倒圆锥形而有棱角，无翅也无梗，但围以长柔毛	悬铃木科	FA99	
289	288	146	叶椭圆形至卵形，具羽状脉及锯齿缘；无托叶；雌雄异株，雄花聚成疏松有苞片的簇丛，雌花单生于苞片的腋内；雌蕊为2心皮而成；小坚果扁平，具翅且有柄，但无毛	杜仲科	FA169	
290	285	144	花常有花萼，尤其在雄花。		-----	
291	292	147	植物体内有乳汁	桑科	FA170	
292	291	147	植物体内无乳汁。		-----	
293	302	148	花柱或其分枝2或数个，但在大戟科的核实树属Dtypetes中则柱头几无柄，呈盾状或肾脏形。		-----	
294	297	149	雌雄异株或有时为同株；叶全缘或具波状齿。		-----	
295	296	150	矮小灌木或亚灌木；果实干燥，包藏于具有长柔毛而互相连合成双角状的2苞片中：胚体弯曲如环	藜科	FA106	
296	295	150	乔木或灌木；果实呈核果状，常为1室含1种子，不包藏于苞片内；胚体劲直	大戟科	FA84	
297	294	149	花两性或单性；叶缘多有锯齿或具齿裂，稀可全缘。		-----	
298	299	151	雄蕊多数	大风子科	FA79	
299	298	151	雄蕊10个或较少。		-----	
300	301	152	子房2室，每室有1个至数个胚珠；果实为木质蒴果	金缕梅科	FA98	
301	300	152	子房1室，仅含1胚珠；果实不是本质蒴果	榆科	FA172	
302	293	148	花柱1个，也可有时(如荨麻属)不存，而柱头呈画笔状。		-----	
303	308	153	叶缘有锯齿；子房为1心皮而成。		-----	
304	305	154	花两性	山龙眼科	FA178	
305	304	154	雌雄异株或同株。		-----	
306	307	155	花生于当年新枝上；雄蕊多数	蔷薇科	FA122	
307	306	155	花生于：老枝上；雄蕊和萼片同数	荨麻科	FA173	
308	303	153	叶全缘或边缘有锯齿；子房为2个以上连合心皮所成。		-----	
309	312	156	果实呈核果状或坚果状，内有1种子；无托叶。		-----	
310	311	157	子房具2或2个胚珠；果实于成熟后由萼筒包围	铁青树科	FA133	
311	310	157	子房仅具1个胚珠；果实和花萼相分离，或仅果实基部由花萼衬托之	山柚子科	FA134	
